Job Title,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Role
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai,7 - 12 yrs, pharma chemicals| business development| api| intermediates| sales,Corporate Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
 Java- Technical Lead- Tavant Technologies - Hyderabad,5 - 9 yrs, Hibernate| Design Patterns| Cloud| Spring Boot| Team Leader| core java| Web Services| Microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Hiring For Oracle Apps DBA@ Hyderabad,10 - 20 yrs, Exadata| performance tuning| 11g| patching| sql| dataguard| rac| cassandra| oracle database| Weblogic| ebs| asm| apps dba| cloning,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
 Walk in For Pharmacist @ 1mg Technologies || Gurugram Sec 14,2 - 7 yrs, hospital| pharma| pharmacy,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Pharmacist/Chemist/Bio Chemist
" Agency Manager || Life Insurance ||ahmedabad , Bhopal , Vadodara",2 - 7 yrs, Sales| insurance sales| agency sales| Direct sales| life advisor| channel sales| life insurance advisor| life insurance| agency,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
 HR Trainer,2 - 5 yrs, Training Needs| Soft Skills| Accent| HR| Feedback| Coaching| Customer Service| Process Compliance,Teachers,"Teaching , Education , Training , Counselling","BPO, Call Centre, ITeS",Technical / Process Trainer
 Project Manager For Civil Work,10 - 20 yrs, Real Estate Construction| Project Management| Interpersonal Communication| Communication Skills| Project Manager| Project Coordinator| site coordinator,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Real Estate, Property",Project Manager-Production/Manufacturing/Maintenance
 Vacancy For Motion Graphic Artist,5 - 7 yrs, Graphics| Multimedia| Visualization| Infographics| Social Media| Adobe After Effects| Protools| Photoshop| Graphic Designing| English Language,,Other,"IT-Software, Software Services",Other
 Business Associate,0 - 3 yrs, international bpo| Chat Process| voice based process| tele caller| process developer| Sales| b.a| exl| communication skills| Ba| Blended Process| bba| wipro| tcs| bbm| customer support| bcom| cse| accenture| Fresher| wns,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics",Associate/Senior Associate -(NonTechnical)
 Project Support Officer/Administrator,1 - 5 yrs, project support| Banking| Maya| E-commerce| big data,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Customer Support Engineer/Technician
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City",1 - 6 yrs, Networking| It Asset| Antivirus| Hardware Troubleshooting,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",System Administrator
 Procurement - MDM,2 - 7 yrs, Procurement| Business process| IT services| Automation| data services| Master data management| Consulting| Vendor| Troubleshooting| Business Executive,Purchase/Material Management,Purchase / Logistics / Supply Chain,"IT-Software, Software Services",Purchase/Vendor Development Manager
 If You're an Experienced in International Tech Sales Then Call Us / In,1 - 4 yrs, Recruitment| Outbound| Technical support| English| Comp| Email| Troubleshooting| Domestic BPO| International BPO| Inbound calls,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Senior Game Artist,3 - 8 yrs, Photoshop| Illustrator| Fine arts| Software design| User interface designing| game development| creative content| Supervision| Relationship Executive| Business Executive,Programming & Design,IT Software - Telecom Software,"Animation, Gaming",Graphic/Web Designer
 Manager (PR),5 - 8 yrs, marketing| project management| PR| project planning,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
 Senior Engineer Project,2 - 5 yrs, Leadership training| Software development life cycle| Management,Project Management,"Site Engineering , Project Management","IT-Software, Software Services",Project Manager-IT/Software
 PERL Developer,6 - 8 yrs, Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta",12 - 16 yrs, apache camel| Administration| Technical Support| redhat| Activemq,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Subject Matter Expert
 Wire Industry,3 - 7 yrs, customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| Business Development,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Branch Manager/Regional Manager
 Manager Brand Marketing,4 - 7 yrs, customer segmentation| Brand management| Strategic partnerships| Brand marketing| Consumer insights| Performance appraisal| Operations| Promotional strategies| Marketing strategy| Recruitment,Marketing,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Product/Brand Manager
 Oracle Fusion Apps_manufacturing_any Location,6 - 11 yrs, Negotiation| Marine Operation| Oracle Fusion| Manufacturing| Inventory,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant
 VP / Sr.vp Fire,17 - 27 yrs, Fire Safety| fire| Senior Management,Safety/Health/Environment,"Production , Manufacturing , Maintenance","Real Estate, Property",Safety Officer/Manager
 Data Science Engineer,5 - 10 yrs, Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer
Executive - Lab Instruments Maintenance, 3 - 7 Years,Installation|Breakdown Maintenance|Preventive Maintenance,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent ","Other Employment Type: Full Time, Permanent",Pharma / Biotech / Clinical Research,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent"
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi,1 - 2 yrs, dot matrix| printer| printer support| Laserjet| Hardware,Technical Support,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Customer Support Engineer/Technician
 When you need a Roof you need a job. Come work with us,3 - 8 yrs, Outbound| Technical Support Associate| Email| Technical| US shift| Medical| Antivirus| Troubleshooting| Technical support| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Senior Data Analyst,2 - 7 yrs, Reporting| Data Analysis| Business Analytics| Data Analytics| kpo,Analytics & BI,Analytics & Business Intelligence,"KPO, Research, Analytics",Data Analyst
" Java / J2EE, Web Services also experienced in AngularJS",2 - 6 yrs, HTML| XML| Ajax| rest| Prototype| technical| developing| JSON| application architecture| SDLC| javascript| jQuery| Web services| java| application| web| design| Web designing| architecture| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior US IT Recruiter / Senior US Recruiter,1 - 5 yrs, us it recruiter| us it recruitment| us it staffing| us staffing| us technical recruiter| us recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Service Engineer - Bhiwadi,1 - 6 yrs, service engineering| maintenance| breakdown| shutdown| amc| installation| repair| troubleshooting| field service engineer| Preventive Maintenance| breakdown maintenance| Field Engineer| Electrical Engineer,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Printing, Packaging",Service/Maintenance Engineer
 Sales Manager,4 - 9 yrs, enterprise sales| relationship building| new business| sales strategy| B2B Sales| marketing management| cross selling| product marketing| consultative sales| b2b marketing| service sales| Corporate Sales| Key Accounts Manager,Institutional Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager
 Accounts Executive For 1-2 Years Experience,1 - 2 yrs, accounts executive| Accounting| accounts| finance,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Accounts Executive/Accountant
 Inbound Tour Manager,2 - 7 yrs, inbound| costing| selling| good communication| good communication skills| tickets| tour| experience| manager| packages,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Tour Management Manager/Senior Manager
 Swimming Pool Technician,1 - 3 yrs, Monthly Reports| Maintenance| Technician Activities| Water Quality,Site Engineering,"Site Engineering , Project Management",Other,Maintenance Engineer
Data Science Manager, 8 - 12 Years,kaggle|NLP|data science|Artificial Intelligence|Natural Language Processing|analytical techniques|Text Mining|big data|machine learning|Deep Learning," ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other Employment Type: Full Time, Permanent ","Other Employment Type: Full Time, Permanent",Strategy / Management Consulting Firms,"ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other"
 Associate Vice President - Talent Acquisition - Campus Hiring Program,12 - 18 yrs, Talent Acquisition| Recruitment| HR| Campus Hiring| recruitment| recruiting,Senior Management,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-Recruitment
 Governance & Performance-Performance Management-Professors,7 - 10 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)",6 - 11 yrs, project sales| Architects| Sales Operations| Sales Management| distributor| interior designers| Area Management| contractors| Area| Developers| consultants| dealer| territory management| Sales Manager,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 Operations - SME / Retail,12 - 15 yrs, Retail| marketing executive| distributors| customer profiling| sales strategy| SME| market research| Business Development| Operations| sales executive,Senior Management,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations
 Assistant Manager - HR Operations,4 - 6 yrs,vide,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager
 Sr. Sales / Sales Executive,2 - 4 yrs, Manager Sales| Sales Manager| assistant sales manager| MICE| Travel Agent| Senior Sales Executive| senior sales officer| Corporate Sales| Hotel Sales| Room Sales| Sales Executive,Retail Sales,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Sales Executive/Officer
 Senior Business Analyst - Sql/python,3 - 5 yrs, data analysis| vba| macros| advanced excel| oracle sql| google analytics| business analysis| python| data mining| business analyst,System Design/Implementation/ERP/CRM,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Business Analyst
" .NET Developer (asp.net, MVC, C#)",2 - 5 yrs, C#| CSS| XML| Asp Net| Javascript| Web Application| MS SQL Server| .Net| MVC| ASP.Net MVC| JQuery| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Head- Land Management.,20 - 26 yrs, land acquisition,Drug Regulatory Affairs/Documentation,"Legal , Regulatory , Intellectual Property","Real Estate, Property",Head/VP/GM-Regulatory Affairs
 Sr. Business Analyst,2 - 5 yrs, Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Business Analyst
 CNC Machine Operator,2 - 3 yrs, cnc| cnc operator| cnc maintenance| cnc programming,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Factory Head
 Executive,5 - 10 yrs, Medical Representative| Senior Executive,Architectural Services,"Architecture , Interior Design","Pharma, Biotech, Clinical Research",Architect
 Presales Manager - Networking,3 - 8 yrs, Sales Engineer| solution architect| Presales| solution consultant| Technology Consultant,,Other,IT-Hardware & Networking,Other
 Inside Sales Executive,3 - 5 yrs, Inside Sales| Lead Generation| Cold Calling| New Business| Customer Service| Proposal Writing| Follow Ups| Sales Executive Activities| Communication Skills| Convincing Power,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Customer Care Executive,0 - 1 yrs, Customer Care| Inbound Process| Night Shift| Customer Care Executive| Customer Care Officer| BPO| Domestic BPO| International BPO,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
 HR - Talent scout specialist,2 - 4 yrs, Performance management| Analytical| Design development| Conceptualization| HR| Continuous improvement| Sales support| Recruitment| Testing,Senior Management,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-HR
 Sr. Sales Manager,8 - 10 yrs, Service delivery| Bfsi| enterprise mobility| Market intelligence| Tools| Application development| Sales process| microsoft| Middleware| Business Executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Laundry Executive,1 - 3 yrs, laundry,Housekeeping,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Housekeeping Executive/Assistant.
 Accounts executive,2 - 7 yrs, TDS| Financial statements| Invoice processing| business opportunity| Interpersonal skills| Tally ERP| Accounting| Analytical| Accounts receivable| Recruitment,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
 MBA HR - Experience,5 - 10 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager
 System Analyst,2 - 3 yrs, T-SQL| Web technologies| data manipulation| MIS| XML| Data structures| System Analyst| JSON| Scripting,Programming & Design,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",System Analyst
 Account Assistance,2 - 3 yrs, Audit| Credit Officers| Internal audit| Accounting| Finance| Tax| Accounts| Risk Management,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant
 Senior Embedded Engineer,3 - 5 yrs, gsm| ethernet| development| optimization| product development| troubleshooting| gps| lcd| embedded| spi,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Team Lead/Technical Lead
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai,4 - 7 yrs, Fortigate| Networking| Routing| Hyper - V| Dlp| Sophos| Windows| Virtualization| Switching| Firewall,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Technical Support Engineer
 Java Developer,4 - 8 yrs, Java| Spring Boot| Web Services| Microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sr. Software Engineer Android/Hybrid,3 - 5 yrs, SQL| Android| jQuery| UML| Coding| Graphics| JSON| Test cases| System testing| SQLite,Programming & Design,IT Software - System Programming,"IT-Software, Software Services",Software Developer
 Principal Engineer-Piping,15 - 18 yrs, HVAC| Architecture| Project management| CAD| thermal| Conceptualization| Instrumentation| Autodesk| Food processing| Project delivery,Engineering Design,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Technical Lead/Project Lead
 Business Analyst - Structured Finance,1 - 4 yrs, electronic trading| structured finance| dcf| equity research| bloomberg| investment banking| business analysis| bonds| valuation| advanced excel| hedge fund| financial modelling| structured products| fixed income,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst
Solution Architecting, 8 - 12 Years,Product management|Analytical skills|software architecture|Prototype|Business analysis|Manager Technology|Outsourcing|Resource management|Operations|Solution architecting,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Technical Architect
 Sales / Business Development,15 - 20 yrs, Sales Head| Hospitality| Office automation| Residential sales| Sales strategy| Bfsi| management| Real estate sales| Flex| Executive search,Senior Management,"Sales , Retail , Business Development","Recruitment, Staffing",Head/VP/GM/National Manager -Sales
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)",0 - 2 yrs, biotechnology| microbiology| nursing| biomedical| medical coding| medical coder| pharmacy| life sciences,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern
 Consultant,12 - 16 yrs, Com| Application support| Email| SAP IS-Utilities| level| Billing| change| Service| CRM| Entry level,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Outside Technical Consultant
 Network & Security Architect- Pune,8 - 13 yrs, Network,,Other,"IT-Software, Software Services",Other
 Business Development Manager,1 - 3 yrs, ERP| RF| Action plan| Relationship| Software sales| Business planning| B2B Sales| RFQ| RFP| CRM,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Assistant Vice President - Stock Broking - Delhi,3 - 8 yrs, Equity| Currency| Mutual Funds| Commodities| Stock Broking| New Client Acquisition| Business Generation| Channel Distribution| Team Management| team handling| sales,Senior Management,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Head/VP/GM/National Manager -Sales
 Production Manager in Press Shop & Projection Welding,10 - 15 yrs, Production Management| Weld Shop| Press Shop| pressing| sheetmetal,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Production Manager
 salesfoce Developer +3Years / Mumbai,3 - 8 yrs, Salesforce Developer| sfdc developer| Salesforce,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Social Media Executive,0 - 1 yrs, website| facebook| online| Twitter| seo| internet| search engine optimisation,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Media, Entertainment, Internet",Social Media Marketing Manager
 Business Advisor,0 - 3 yrs,vide,Institutional Sales,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Sales Executive/Officer
" IT Recruiter, Technical Recruiter",0 - 4 yrs, head hunting| talent acquisition| Recruitment Executive| it recruitment| screening| technical recruitment| hiring| recruitment consultant| recruitment| sourcing| excel powerpoint| staffing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
 SAP PLM Consultant - SAP MM Module,10 - 15 yrs, SAP PLM| SAP MM| SAP EHS,Other,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Consultant
 Python Manager - IIT/ IIM/ DSE/ ISI,3 - 6 yrs, Microstrategy| Business Intelligence| Cognos| Business Objects| Tableau| AWS| Python| SQL,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT/Networking-Manager
 Marketing Manager - Activation - Iit/nit,2 - 5 yrs, Marketing| Event Management| Brand Management,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager
 Hiring .Net Developers for Hyderabad Location,3 - 6 yrs, asp.net| ado.net| MVC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior BI Cognos Developer,7 - 12 yrs, SQL| Oracle| Cognos| Business intelligence| Automotive| Supply chain| DBMSTools| metadata,Programming & Design,"IT Software - DBA , Datawarehousing","Recruitment, Staffing",Software Developer
 Technical Support Engineer,2 - 5 yrs, Technical support| SAN| Veritas| Data management| NetBackup| Windows OS| WebEx| Unix operating system| TCP/IP| IT infrastructure,Admin/Maintenance/Security/Datawarehousing,IT Software - Other,"IT-Software, Software Services",Technical Support Engineer
 Senior Drupal Developer,5 - 10 yrs, Drupal| Linux| MySQL| Python| Consulting| Procurement| Monitoring| Front end| Backend| Django,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Pre Sales Executive,2 - 4 yrs, Presales| Real Estate Sales| Residential Sales| Sales Executive Activities,Pre Sales,"Sales , Retail , Business Development","Real Estate, Property",Pre Sales Consultant
 Head - Sales &amp; Strategy (telematics),7 - 12 yrs, b2b sales| team management| kam| commercial vehicle| sales strategy| enterprises sales,Senior Management,"Sales , Retail , Business Development","Internet, Ecommerce",Head/VP/GM/National Manager -Sales
 Content Writer Required for a Monthly Magazine,1 - 3 yrs, Editing| proof reading| content writer| editor| Articles| Article Writing| Content Editor| Journalism| Mass Communication| Copywriter| Associate Editor| Sub Editor| English Writing| Research| Social Media,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Sales Engineers,1 - 2 yrs, set| eee| interpersonal skills| selling| sales marketing| travel| marketing management| hardware,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Senior Laravel Developer,3 - 5 yrs, MySQL| Wordpress| Javascript| Flex| CMS| PHP| HTML| JSON| Joomla| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k",0 - 5 yrs, MBBS| B.sc| Biotech| Dermatology| Rheumatology| ENT| BDS| Medicine| Pathology| Immunology| Medical Transcription| Radiology| Genetics| BAMS| MDS,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing
 Hub-Incharge Bangalore,2 - 3 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Logistics,Purchase / Logistics / Supply Chain,"Recruitment, Staffing",Logistics Manager
